N,Prime Found,Sum Made,Probability
4,2,1,0.5
6,3,1,0.3333333333333333
8,4,2,0.5
10,4,3,0.75
12,5,2,0.4
14,6,3,0.5
16,6,4,0.6666666666666666
18,7,4,0.5714285714285714
20,8,4,0.5
22,8,5,0.625
24,9,6,0.6666666666666666
26,9,5,0.5555555555555556
28,9,4,0.4444444444444444
30,10,6,0.6
32,11,4,0.36363636363636365
34,11,7,0.6363636363636364
36,11,8,0.7272727272727273
38,12,3,0.25
40,12,6,0.5
42,13,8,0.6153846153846154
44,14,6,0.42857142857142855
46,14,7,0.5
48,15,10,0.6666666666666666
50,15,8,0.5333333333333333
52,15,6,0.4
54,16,10,0.625
56,16,6,0.375
58,16,7,0.4375
60,17,12,0.7058823529411765
62,18,5,0.2777777777777778
64,18,10,0.5555555555555556
66,18,12,0.6666666666666666
68,19,4,0.21052631578947367
70,19,10,0.5263157894736842
72,20,12,0.6
74,21,9,0.42857142857142855
76,21,10,0.47619047619047616
78,21,14,0.6666666666666666
80,22,8,0.36363636363636365
82,22,9,0.4090909090909091
84,23,16,0.6956521739130435
86,23,9,0.391304347826087
88,23,8,0.34782608695652173
90,24,18,0.75
92,24,8,0.3333333333333333
94,24,9,0.375
96,24,14,0.5833333333333334
98,25,6,0.24
100,25,12,0.48
102,26,16,0.6153846153846154
104,27,10,0.37037037037037035
106,27,11,0.4074074074074074
108,28,16,0.5714285714285714
110,29,12,0.41379310344827586
112,29,14,0.4827586206896552
114,30,20,0.6666666666666666
116,30,12,0.4
118,30,11,0.36666666666666664
120,30,24,0.8
122,30,7,0.23333333333333334
124,30,10,0.3333333333333333
126,30,20,0.6666666666666666
128,31,6,0.1935483870967742
130,31,14,0.45161290322580644
132,32,18,0.5625
134,32,11,0.34375
136,32,10,0.3125
138,33,16,0.48484848484848486
140,34,14,0.4117647058823529
142,34,15,0.4411764705882353
144,34,22,0.6470588235294118
146,34,11,0.3235294117647059
148,34,10,0.29411764705882354
150,35,24,0.6857142857142857
152,36,8,0.2222222222222222
154,36,16,0.4444444444444444
156,36,22,0.6111111111111112
158,37,9,0.24324324324324326
160,37,16,0.43243243243243246
162,37,20,0.5405405405405406
164,38,10,0.2631578947368421
166,38,11,0.2894736842105263
168,39,26,0.6666666666666666
170,39,18,0.46153846153846156
172,39,12,0.3076923076923077
174,40,22,0.55
176,40,14,0.35
178,40,13,0.325
180,41,28,0.6829268292682927
182,42,12,0.2857142857142857
184,42,16,0.38095238095238093
186,42,26,0.6190476190476191
188,42,10,0.23809523809523808
190,42,16,0.38095238095238093
192,43,22,0.5116279069767442
194,44,13,0.29545454545454547
196,44,18,0.4090909090909091
198,45,26,0.5777777777777777
200,46,16,0.34782608695652173
202,46,17,0.3695652173913043
204,46,28,0.6086956521739131
206,46,13,0.2826086956521739
208,46,14,0.30434782608695654
210,46,38,0.8260869565217391
212,47,12,0.2553191489361702
214,47,15,0.3191489361702128
216,47,26,0.5531914893617021
218,47,13,0.2765957446808511
220,47,18,0.3829787234042553
222,47,22,0.46808510638297873
224,48,14,0.2916666666666667
226,48,13,0.2708333333333333
228,49,24,0.4897959183673469
230,50,18,0.36
232,50,14,0.28
234,51,30,0.5882352941176471
236,51,18,0.35294117647058826
